Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rd,cp_rs1_edges,cp_imm_edges,cp_fs1,cp_fs2,cp_fs3,cp_fd,cp_fs1_edges,cp_fs2_edges,cp_fs3_edges,cmp_fd_fs1,cmp_fd_fs2,cmp_fd_fs3,cp_frm,cp_csr_fflags,cp_csr_frm,cr_fs1_fs2_edges,cr_fs1_fs3_edges,cp_fclass,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fs3_badNB,cp_fpr_hazard,cp_gpr_hazard
fmsub.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,rw,
fmul.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,voun,x,frm_D,,,,,,,rw,
fmv.d.x,X2F,,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,w,r
fmv.x.d,F2X,,x,x,,x,,,x,,,,D,,,,,,,,,,,,,,,,r,w
fnmadd.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,rw,
fnmsub.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,rw,
fsd,FS,x,x,x,nx0,,,x,,x,,,,x,,,,,,,,,,,,,,,r,r
fsgnj.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,,,D,,,,,,,rw,
fsgnjn.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,,,D,,,,,,,rw,
fsgnjx.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,,,D,,,,,,,rw,
fsqrt.d,FI,x,x,x,,,,,x,,,x,D,,,x,,,2,vn,x,,,,,,,,rw,
fsub.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,von,x,frm_D,,,,,,,rw,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fadd.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fclass.s,FIX,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.l.s,F2X,,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.lu.s,F2X,,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.s.l,X2F,,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,,
fcvt.s.lu,X2F,,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,,
fcvt.s.w,X2F,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,,
fcvt.s.wu,X2F,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,,
fcvt.w.s,F2X,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fcvt.wu.s,F2X,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fdiv.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
feq.s,FC,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,,,
fle.s,FC,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,,,
flt.s,FC,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,,,
flw,FL,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,,
fmadd.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,,
fmax.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fmin.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fmsub.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,,
fmul.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fmv.w.x,X2F,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,,,,,
fmv.x.w,F2X,x,x,,,,,,,,,,,,,,,,,,,,,,,D_S,,,,
fnmadd.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,,
fnmsub.s,FR4,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,D_S,,
fsgnj.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fsgnjn.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fsgnjx.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fsqrt.s,FI,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,,,,
fsub.s,FR,x,x,,,,,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,,
fsw,FS,x,x,,,,,,,,,,,,,,,,,,,,,,,,D_S,,,
