Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_uimm_5,cp_vs3,cp_vm,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_custom
vadd.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vadd.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vadd.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vwadd.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwadd.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwaddu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwaddu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwadd.wv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwadd.wx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwaddu.wv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwaddu.wx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vsub.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vsub.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwsub.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwsub.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwsubu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwsubu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwsub.wv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwsub.wx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vrsub.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vrsub.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vzext.vf2,VVV,x,x,x,x,x,x,x,x,,x,,,,,,x,x,,,,
vzext.vf4,VVV,x,x,x,x,x,x,x,x,,x,,,,,,x,x,,,,
vzext.vf8,VVV,x,x,x,x,x,x,x,x,,x,,,,,,x,x,,,,
vsext.vf2,VVV,x,x,x,x,x,x,x,x,,x,,,,,,x,x,,,,
vsext.vf4,VVV,x,x,x,x,x,x,x,x,,x,,,,,,x,x,,,,
vsext.vf8,VVV,x,x,x,x,x,x,x,x,,x,,,,,,x,x,,,,
vadc.vvm,VV,x,x,x,x,x,x,x,nv0,,x,,x,,,,,x,x,x,x,
vadc.vxm,VX,x,x,x,x,x,x,x,nv0,,x,,,x,,,,x,,,,
vadc.vim,VI,x,x,x,x,x,x,x,nv0,,x,,,,x,,,x,,,,
vsbc.vvm,VV,x,x,x,x,x,x,x,nv0,,x,,x,,,,,x,x,x,x,
vsbc.vxm,VX,x,x,x,x,x,x,x,nv0,,x,,,x,,,,x,,,,
vmadc.vvm,VV,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmadc.vxm,VX,x,x,x,x,x,x,x,x,,x,,,x,,,,x,,,,
vmadc.vim,VI,x,x,x,x,x,x,x,x,,x,,,,x,,,x,,,,
vmadc.vv,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmadc.vx,VXM,x,x,x,x,x,x,x,x,,x,,,x,,,,x,,,,
vmadc.vi,VIM,x,x,x,x,x,x,x,x,,x,,,,x,,,x,,,,
vmsbc.vvm,VV,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmsbc.vxm,VX,x,x,x,x,x,x,x,x,,x,,,x,,,,x,,,,
vmsbc.vv,VVM,x,x,x,x,x,x,x,x,,x,,x,,,,,x,x,x,x,
vmsbc.vx,VXM,x,x,x,x,x,x,x,x,,x,,,x,,,,x,,,,
vand.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vand.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vand.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vor.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vor.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vor.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vxor.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vxor.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vxor.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vsll.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vsll.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vsll.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vsrl.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vsrl.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vsrl.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vnsrl.wv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vnsrl.wx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vnsrl.wi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vsra.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vsra.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vsra.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vnsra.wv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vnsra.wx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vnsra.wi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vmseq.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmseq.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmseq.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vmsne.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmsne.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmsne.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vmslt.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmslt.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmsltu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmsltu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmsle.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmsle.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmsle.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vmsleu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmsleu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmsleu.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vmsgt.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmsgt.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vmsgtu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmsgtu.vi,VI,x,x,x,x,x,x,x,x,,x,,,,x,,x,x,,,,
vmin.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmin.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vminu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vminu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmax.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmax.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmaxu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
